id,language,transcript,speech_pitch,speech_energy,mel_mean,mel_std,embedding_dim1,embedding_dim2,emotion
132,French,Comment vous sentez-vous aujourd'hui?,151.53,0.52,0.4,0.13,0.44,0.15,Anger
133,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,206.44,0.72,0.38,0.13,0.48,0.3,Fear
134,French,Essayons quelques exercices d'étirement.,236.62,0.44,0.29,0.12,0.35,0.24,Sadness
135,Mandarin,请深呼吸。,198.24,0.46,0.3,0.1,0.33,0.19,Joy
136,Hindi,क्या आपको कोई दर्द है?,173.34,0.75,0.37,0.14,0.53,0.18,Surprise
137,Mandarin,你今天看起来更放松。,249.58,0.73,0.28,0.08,0.5,0.26,Anger
138,French,Je vais enregistrer votre tension artérielle.,220.67,0.79,0.23,0.09,0.42,0.17,Anger
139,Mandarin,你今天看起来更放松。,226.41,0.58,0.29,0.1,0.45,0.27,Anger
140,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,222.31,0.69,0.2,0.15,0.54,0.25,Joy
141,Hindi,आप अच्छी प्रगति कर रहे हैं।,240.08,0.58,0.38,0.09,0.6,0.16,Sadness
142,English,You are making good progress.,235.16,0.76,0.29,0.14,0.59,0.28,Neutral
143,Spanish,¿Puede mover el brazo lentamente?,177.58,0.42,0.38,0.14,0.57,0.24,Neutral
144,English,You seem more relaxed today.,180.98,0.64,0.29,0.1,0.5,0.22,Anger
145,Spanish,Voy a registrar su presión arterial.,212.06,0.64,0.22,0.11,0.36,0.16,Joy
146,Spanish,¿Puede mover el brazo lentamente?,248.14,0.77,0.34,0.14,0.56,0.23,Anger
147,Hindi,क्या आपको कोई दर्द है?,182.95,0.75,0.22,0.09,0.37,0.15,Joy
148,Spanish,¿Puede mover el brazo lentamente?,246.43,0.48,0.33,0.12,0.45,0.24,Neutral
149,Mandarin,你可以慢慢移动手臂吗？,242.07,0.64,0.25,0.12,0.37,0.22,Fear
150,Spanish,Parece más relajado hoy.,233.71,0.45,0.22,0.12,0.52,0.3,Sadness
151,French,Comment vous sentez-vous aujourd'hui?,215.18,0.59,0.34,0.13,0.59,0.25,Neutral
152,English,I will record your blood pressure now.,219.04,0.56,0.34,0.14,0.33,0.29,Joy
153,French,Vous semblez plus détendu aujourd'hui.,234.26,0.64,0.22,0.14,0.43,0.24,Joy
154,Mandarin,请深呼吸。,231.97,0.54,0.38,0.1,0.59,0.21,Anger
155,English,Do you feel any pain?,232.5,0.5,0.31,0.1,0.47,0.17,Sadness
156,French,Veuillez respirer profondément.,240.02,0.64,0.34,0.14,0.49,0.23,Joy
157,Spanish,Vamos a comenzar la terapia.,228.47,0.64,0.32,0.12,0.47,0.23,Neutral
158,Mandarin,让我帮你调整枕头。,223.35,0.43,0.35,0.1,0.57,0.27,Fear
159,French,Nous allons commencer la séance.,239.02,0.6,0.35,0.11,0.46,0.15,Anger
160,Mandarin,我们现在开始治疗。,196.49,0.7,0.22,0.08,0.32,0.25,Neutral
161,Mandarin,我们现在开始治疗。,228.58,0.4,0.22,0.1,0.53,0.26,Fear
162,French,Pouvez-vous bouger le bras lentement?,153.28,0.78,0.37,0.1,0.43,0.17,Neutral
163,English,How are you feeling today?,248.53,0.44,0.29,0.08,0.43,0.18,Sadness
164,French,Essayons quelques exercices d'étirement.,205.45,0.61,0.31,0.1,0.54,0.17,Sadness
165,English,I will record your blood pressure now.,150.61,0.64,0.34,0.15,0.45,0.27,Surprise
166,Mandarin,你有疼痛吗？,193.24,0.8,0.35,0.15,0.41,0.21,Joy
167,French,Vous semblez plus détendu aujourd'hui.,168.94,0.54,0.37,0.14,0.34,0.19,Neutral
168,Mandarin,我现在记录你的血压。,187.69,0.78,0.23,0.15,0.59,0.18,Anger
169,Mandarin,你今天感觉如何？,224.55,0.6,0.37,0.11,0.42,0.3,Anger
170,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,181.5,0.67,0.4,0.13,0.56,0.19,Fear
171,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,206.84,0.61,0.36,0.11,0.46,0.17,Anger
172,English,Do you feel any pain?,190.11,0.51,0.26,0.09,0.48,0.18,Joy
173,French,Comment vous sentez-vous aujourd'hui?,217.77,0.54,0.23,0.15,0.46,0.23,Sadness
174,Mandarin,让我帮你调整枕头。,236.27,0.63,0.28,0.13,0.39,0.22,Surprise
175,Hindi,मैं आपका तकिया सही कर देता हूँ।,207.59,0.74,0.39,0.1,0.45,0.21,Fear
176,French,Pouvez-vous bouger le bras lentement?,223.05,0.54,0.25,0.09,0.44,0.16,Sadness
177,Hindi,क्या आप बेहतर महसूस कर रहे हैं?,156.2,0.62,0.22,0.11,0.42,0.21,Surprise
178,Spanish,Está progresando bien.,236.24,0.78,0.33,0.13,0.57,0.27,Fear
179,French,Pouvez-vous bouger le bras lentement?,208.43,0.64,0.28,0.11,0.44,0.2,Joy
180,English,We will start your therapy now.,187.53,0.65,0.28,0.14,0.6,0.23,Neutral
181,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,164.78,0.51,0.33,0.12,0.59,0.27,Neutral
182,Hindi,हम आपकी थेरेपी शुरू करेंगे।,226.0,0.56,0.22,0.08,0.35,0.21,Neutral
183,Mandarin,请深呼吸。,212.22,0.57,0.32,0.1,0.59,0.22,Joy
184,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,249.96,0.69,0.24,0.11,0.48,0.16,Sadness
185,Spanish,Voy a registrar su presión arterial.,192.05,0.8,0.3,0.08,0.35,0.3,Neutral
186,English,I will record your blood pressure now.,208.64,0.56,0.33,0.12,0.43,0.21,Fear
187,French,Laissez-moi ajuster votre oreiller pour plus de confort.,217.38,0.79,0.39,0.14,0.55,0.22,Anger
188,French,Vous semblez plus détendu aujourd'hui.,214.59,0.44,0.22,0.15,0.53,0.16,Joy
189,Hindi,क्या आपको कोई दर्द है?,211.19,0.61,0.34,0.13,0.52,0.16,Fear
190,Spanish,¿Se siente más relajado ahora?,168.51,0.59,0.36,0.08,0.37,0.24,Joy
191,French,Nous allons commencer la séance.,191.92,0.71,0.37,0.13,0.33,0.16,Anger
192,Mandarin,请深呼吸。,230.37,0.49,0.23,0.1,0.53,0.15,Joy
193,Mandarin,你的康复进展很好。,213.46,0.64,0.38,0.14,0.42,0.28,Surprise
194,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,204.91,0.51,0.39,0.09,0.57,0.24,Neutral
195,Spanish,¿Tiene algún dolor?,223.21,0.68,0.24,0.1,0.53,0.15,Joy
196,Spanish,¿Tiene algún dolor?,197.8,0.69,0.31,0.09,0.54,0.29,Sadness
197,Hindi,हम आपकी थेरेपी शुरू करेंगे।,198.4,0.45,0.38,0.1,0.31,0.21,Neutral
198,Spanish,Está progresando bien.,174.88,0.72,0.34,0.15,0.37,0.18,Neutral
199,Spanish,¿Se siente más relajado ahora?,194.57,0.47,0.34,0.09,0.41,0.29,Fear
200,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,151.68,0.67,0.36,0.1,0.35,0.2,Sadness
201,French,Vous semblez plus détendu aujourd'hui.,241.57,0.5,0.32,0.1,0.44,0.27,Surprise
202,English,Let me adjust your pillow for comfort.,248.12,0.76,0.4,0.1,0.35,0.18,Surprise
203,Hindi,मैं आपका तकिया सही कर देता हूँ।,248.94,0.56,0.36,0.14,0.34,0.22,Sadness
204,Mandarin,我们来做一些伸展运动。,247.37,0.74,0.25,0.1,0.56,0.18,Anger
205,Mandarin,我现在记录你的血压。,186.15,0.65,0.26,0.1,0.56,0.23,Joy
206,French,Je vais enregistrer votre tension artérielle.,208.53,0.55,0.24,0.11,0.58,0.19,Anger
207,Spanish,Parece más relajado hoy.,246.31,0.43,0.31,0.08,0.4,0.22,Anger
208,English,Let's try a few stretching exercises.,249.56,0.61,0.38,0.12,0.48,0.21,Neutral
209,Spanish,Parece más relajado hoy.,221.18,0.4,0.24,0.1,0.34,0.15,Fear
210,French,Nous allons commencer la séance.,248.34,0.51,0.36,0.12,0.42,0.17,Fear
211,English,Can you move your arm slowly?,175.03,0.62,0.23,0.14,0.49,0.2,Joy
212,French,Je vais enregistrer votre tension artérielle.,162.01,0.43,0.25,0.1,0.34,0.17,Joy
213,English,You seem more relaxed today.,197.71,0.42,0.2,0.08,0.58,0.17,Fear
214,Spanish,¿Se siente más relajado ahora?,167.91,0.43,0.32,0.08,0.49,0.27,Sadness
215,Hindi,आप आज ज़्यादा शांत लग रहे हैं।,165.66,0.77,0.24,0.14,0.42,0.24,Surprise
216,French,Laissez-moi ajuster votre oreiller pour plus de confort.,236.43,0.45,0.26,0.12,0.51,0.28,Anger
217,Spanish,¿Puede mover el brazo lentamente?,150.26,0.68,0.32,0.12,0.46,0.26,Surprise
218,Mandarin,让我帮你调整枕头。,228.59,0.48,0.25,0.15,0.45,0.24,Neutral
219,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,202.17,0.78,0.29,0.11,0.45,0.24,Fear
220,Hindi,क्या आप धीरे से अपना हाथ हिला सकते हैं?,212.18,0.55,0.3,0.09,0.35,0.24,Sadness
221,French,Je vais enregistrer votre tension artérielle.,166.74,0.43,0.38,0.08,0.55,0.26,Anger
222,French,Vous progressez bien.,189.87,0.65,0.3,0.1,0.47,0.28,Anger
223,Hindi,कृपया गहरी साँस लें।,179.34,0.52,0.32,0.12,0.34,0.2,Joy
224,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,226.93,0.71,0.36,0.14,0.48,0.22,Anger
225,Mandarin,你有疼痛吗？,244.45,0.64,0.33,0.15,0.37,0.26,Neutral
226,Mandarin,你有疼痛吗？,209.37,0.62,0.38,0.13,0.52,0.21,Neutral
227,Spanish,Por favor respire profundamente.,176.4,0.47,0.25,0.09,0.42,0.26,Fear
228,French,Ressentez-vous de la douleur?,174.28,0.63,0.32,0.12,0.54,0.21,Neutral
229,Mandarin,我们现在开始治疗。,226.12,0.65,0.39,0.12,0.34,0.25,Sadness
230,Spanish,¿Puede mover el brazo lentamente?,156.33,0.53,0.28,0.11,0.59,0.2,Fear
231,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,187.2,0.67,0.35,0.12,0.38,0.17,Neutral
232,Spanish,¿Tiene algún dolor?,207.57,0.66,0.32,0.11,0.39,0.29,Joy
233,English,Let me adjust your pillow for comfort.,189.16,0.69,0.27,0.13,0.48,0.23,Anger
234,Mandarin,我们来做一些伸展运动。,167.39,0.58,0.3,0.1,0.57,0.25,Anger
235,English,Let's try a few stretching exercises.,158.87,0.74,0.36,0.1,0.3,0.21,Joy
236,English,Do you feel any pain?,169.21,0.53,0.27,0.13,0.52,0.28,Sadness
237,Mandarin,你今天感觉如何？,220.21,0.58,0.4,0.09,0.51,0.28,Fear
238,French,Je vais enregistrer votre tension artérielle.,229.91,0.59,0.37,0.15,0.37,0.25,Sadness
239,English,You are making good progress.,230.05,0.59,0.38,0.12,0.35,0.16,Surprise
240,Mandarin,你今天看起来更放松。,208.73,0.78,0.32,0.12,0.37,0.29,Neutral
241,French,Vous progressez bien.,197.71,0.53,0.24,0.09,0.56,0.19,Joy
242,Mandarin,你可以慢慢移动手臂吗？,232.04,0.62,0.25,0.1,0.58,0.26,Anger
243,Mandarin,我们现在开始治疗。,185.44,0.63,0.38,0.1,0.57,0.23,Neutral
244,French,Je vais enregistrer votre tension artérielle.,220.2,0.73,0.38,0.12,0.57,0.3,Neutral
245,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,200.89,0.64,0.31,0.1,0.4,0.21,Surprise
246,Spanish,¿Se siente más relajado ahora?,179.56,0.63,0.29,0.08,0.5,0.21,Joy
247,Spanish,Vamos a hacer algunos ejercicios de estiramiento.,172.27,0.64,0.3,0.13,0.56,0.18,Anger
248,Hindi,हम आपकी थेरेपी शुरू करेंगे।,205.62,0.53,0.22,0.13,0.44,0.3,Sadness
249,English,Please take a deep breath.,193.75,0.53,0.24,0.13,0.56,0.16,Fear
250,Mandarin,你今天看起来更放松。,185.04,0.76,0.4,0.08,0.32,0.28,Neutral
251,Mandarin,你今天看起来更放松。,172.27,0.54,0.32,0.14,0.59,0.29,Anger
252,Hindi,आइए कुछ स्ट्रेचिंग व्यायाम करें।,163.48,0.52,0.21,0.1,0.42,0.2,Sadness
253,English,Let me adjust your pillow for comfort.,245.29,0.79,0.29,0.08,0.55,0.28,Anger
254,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,242.21,0.66,0.23,0.1,0.57,0.3,Surprise
255,Spanish,Voy a registrar su presión arterial.,243.69,0.72,0.36,0.12,0.32,0.25,Sadness
256,Mandarin,你有疼痛吗？,190.48,0.54,0.28,0.15,0.46,0.18,Neutral
257,Mandarin,我们来做一些伸展运动。,243.01,0.49,0.3,0.12,0.6,0.18,Anger
258,Hindi,आप अच्छी प्रगति कर रहे हैं।,180.21,0.49,0.27,0.13,0.59,0.28,Fear
259,English,Let me adjust your pillow for comfort.,153.42,0.63,0.27,0.12,0.46,0.15,Anger
260,Mandarin,你今天感觉如何？,187.73,0.5,0.38,0.08,0.59,0.29,Fear
261,Mandarin,我现在记录你的血压。,234.58,0.46,0.23,0.1,0.31,0.21,Joy
262,French,Veuillez respirer profondément.,193.38,0.5,0.36,0.14,0.33,0.16,Anger
263,English,How are you feeling today?,209.19,0.53,0.24,0.12,0.5,0.18,Neutral
264,Spanish,Déjeme ajustar su almohada para mayor comodidad.,236.56,0.52,0.33,0.14,0.39,0.22,Anger
265,English,Do you feel any pain?,230.26,0.66,0.37,0.09,0.45,0.17,Neutral
266,Mandarin,你可以慢慢移动手臂吗？,248.32,0.45,0.22,0.1,0.32,0.28,Neutral
267,Hindi,हम आपकी थेरेपी शुरू करेंगे।,179.0,0.49,0.36,0.13,0.45,0.22,Surprise
268,English,I will record your blood pressure now.,193.85,0.68,0.31,0.1,0.54,0.26,Sadness
269,Mandarin,我现在记录你的血压。,173.19,0.69,0.35,0.1,0.46,0.22,Surprise
270,English,Can you move your arm slowly?,167.32,0.66,0.31,0.14,0.37,0.29,Joy
271,English,Please take a deep breath.,222.55,0.6,0.25,0.09,0.43,0.22,Fear
272,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,157.99,0.7,0.37,0.15,0.38,0.27,Neutral
273,English,I will record your blood pressure now.,223.47,0.69,0.32,0.09,0.35,0.26,Neutral
274,Spanish,¿Se siente más relajado ahora?,234.28,0.64,0.36,0.08,0.36,0.23,Neutral
275,French,Veuillez respirer profondément.,172.92,0.45,0.32,0.15,0.44,0.15,Anger
276,Hindi,मैं आपका ब्लड प्रेशर नोट करूँगा।,194.34,0.53,0.36,0.09,0.3,0.24,Surprise
277,Mandarin,我们现在开始治疗。,153.05,0.51,0.23,0.09,0.35,0.24,Anger
